Seconds Since Midnight,Heartbeat,Time HH:MM:SS
56700,79,15:45:00
56701,78,15:45:01
56702,78,15:45:02
56703,77,15:45:03
56704,76,15:45:04
56705,76,15:45:05
56706,76,15:45:06
56707,76,15:45:07
56708,76,15:45:08
56709,76,15:45:09
56710,76,15:45:10
56711,76,15:45:11
56712,76,15:45:12
56713,76,15:45:13
56714,76,15:45:14
56715,78,15:45:15
56716,78,15:45:16
56717,78,15:45:17
56718,78,15:45:18
56719,78,15:45:19
56720,78,15:45:20
56721,78,15:45:21
56722,79,15:45:22
56723,79,15:45:23
56724,79,15:45:24
56725,79,15:45:25
56726,80,15:45:26
56727,80,15:45:27
56728,80,15:45:28
56729,80,15:45:29
56730,80,15:45:30
56731,80,15:45:31
56732,80,15:45:32
56733,80,15:45:33
56734,80,15:45:34
56735,80,15:45:35
56736,80,15:45:36
56737,80,15:45:37
56738,80,15:45:38
56739,80,15:45:39
56740,80,15:45:40
56741,80,15:45:41
56742,80,15:45:42
56743,80,15:45:43
56744,80,15:45:44
56745,80,15:45:45
56746,80,15:45:46
56747,81,15:45:47
56748,81,15:45:48
56749,82,15:45:49
56750,82,15:45:50
56751,84,15:45:51
56752,84,15:45:52
56753,84,15:45:53
56754,84,15:45:54
56755,84,15:45:55
56756,83,15:45:56
56757,83,15:45:57
56758,81,15:45:58
56759,81,15:45:59
56760,81,15:46:00
56761,80,15:46:01
56762,80,15:46:02
56763,80,15:46:03
56764,80,15:46:04
56765,80,15:46:05
56766,80,15:46:06
56767,80,15:46:07
56768,80,15:46:08
56769,79,15:46:09
56770,79,15:46:10
56771,79,15:46:11
56772,79,15:46:12
56773,79,15:46:13
56774,80,15:46:14
56775,80,15:46:15
56776,80,15:46:16
56777,80,15:46:17
56778,79,15:46:18
56779,79,15:46:19
56780,78,15:46:20
56781,78,15:46:21
56782,78,15:46:22
56783,79,15:46:23
56784,79,15:46:24
56785,79,15:46:25
56786,79,15:46:26
56787,79,15:46:27
56788,77,15:46:28
56789,76,15:46:29
56790,76,15:46:30
56791,75,15:46:31
56792,75,15:46:32
56793,75,15:46:33
56794,75,15:46:34
56795,75,15:46:35
56796,76,15:46:36
56797,76,15:46:37
56798,75,15:46:38
56799,76,15:46:39
56800,76,15:46:40
56801,76,15:46:41
56802,77,15:46:42
56803,77,15:46:43
56804,77,15:46:44
56805,78,15:46:45
56806,78,15:46:46
56807,78,15:46:47
56808,81,15:46:48
56809,82,15:46:49
56810,83,15:46:50
56811,84,15:46:51
56812,84,15:46:52
56813,86,15:46:53
56814,86,15:46:54
56815,86,15:46:55
56816,87,15:46:56
56817,86,15:46:57
56818,86,15:46:58
56819,86,15:46:59
56820,85,15:47:00
56821,85,15:47:01
56822,83,15:47:02
56823,83,15:47:03
56824,82,15:47:04
56825,82,15:47:05
56826,81,15:47:06
56827,81,15:47:07
56828,78,15:47:08
56829,78,15:47:09
56830,77,15:47:10
56831,77,15:47:11
56832,77,15:47:12
56833,77,15:47:13
56834,79,15:47:14
56835,81,15:47:15
56836,81,15:47:16
56837,81,15:47:17
56838,81,15:47:18
56839,82,15:47:19
56840,82,15:47:20
56841,82,15:47:21
56842,82,15:47:22
56843,82,15:47:23
56844,81,15:47:24
56845,81,15:47:25
56846,82,15:47:26
56847,82,15:47:27
56848,82,15:47:28
56849,81,15:47:29
56850,80,15:47:30
56851,80,15:47:31
56852,80,15:47:32
56853,78,15:47:33
56854,78,15:47:34
56855,77,15:47:35
56856,77,15:47:36
56857,77,15:47:37
56858,77,15:47:38
56859,77,15:47:39
56860,77,15:47:40
56861,77,15:47:41
56862,77,15:47:42
56863,77,15:47:43
56864,77,15:47:44
56865,76,15:47:45
56866,76,15:47:46
56867,76,15:47:47
56868,76,15:47:48
56869,76,15:47:49
56870,76,15:47:50
56871,77,15:47:51
56872,77,15:47:52
56873,78,15:47:53
56874,78,15:47:54
56875,78,15:47:55
56876,80,15:47:56
56877,80,15:47:57
56878,82,15:47:58
56879,82,15:47:59
56880,84,15:48:00
56881,84,15:48:01
56882,86,15:48:02
56883,87,15:48:03
56884,87,15:48:04
56885,86,15:48:05
56886,86,15:48:06
56887,86,15:48:07
56888,85,15:48:08
56889,84,15:48:09
56890,84,15:48:10
56891,84,15:48:11
56892,83,15:48:12
56893,83,15:48:13
56894,83,15:48:14
56895,86,15:48:15
56896,86,15:48:16
56897,88,15:48:17
56898,88,15:48:18
56899,90,15:48:19
56900,90,15:48:20
56901,92,15:48:21
56902,93,15:48:22
56903,94,15:48:23
56904,94,15:48:24
56905,95,15:48:25
56906,95,15:48:26
56907,97,15:48:27
56908,98,15:48:28
56909,98,15:48:29
56910,98,15:48:30
56911,98,15:48:31
56912,98,15:48:32
56913,98,15:48:33
56914,98,15:48:34
56915,99,15:48:35
56916,99,15:48:36
56917,99,15:48:37
56918,99,15:48:38
56919,99,15:48:39
56920,99,15:48:40
56921,98,15:48:41
56922,98,15:48:42
56923,97,15:48:43
56924,97,15:48:44
56925,97,15:48:45
56926,95,15:48:46
56927,95,15:48:47
56928,95,15:48:48
56929,94,15:48:49
56930,94,15:48:50
56931,94,15:48:51
56932,94,15:48:52
56933,93,15:48:53
56934,93,15:48:54
56935,91,15:48:55
56936,90,15:48:56
56937,90,15:48:57
56938,89,15:48:58
56939,89,15:48:59
56940,89,15:49:00
56941,89,15:49:01
56942,89,15:49:02
56943,89,15:49:03
56944,90,15:49:04
56945,90,15:49:05
56946,91,15:49:06
56947,91,15:49:07
56948,91,15:49:08
56949,92,15:49:09
56950,92,15:49:10
56951,92,15:49:11
56952,92,15:49:12
56953,92,15:49:13
56954,93,15:49:14
56955,93,15:49:15
56956,94,15:49:16
56957,94,15:49:17
56958,94,15:49:18
56959,94,15:49:19
56960,95,15:49:20
56961,95,15:49:21
56962,96,15:49:22
56963,96,15:49:23
56964,98,15:49:24
56965,99,15:49:25
56966,99,15:49:26
56967,99,15:49:27
56968,103,15:49:28
56969,104,15:49:29
56970,105,15:49:30
56971,104,15:49:31
56972,104,15:49:32
56973,103,15:49:33
56974,102,15:49:34
56975,102,15:49:35
56976,100,15:49:36
56977,100,15:49:37
56978,100,15:49:38
56979,100,15:49:39
56980,100,15:49:40
56981,100,15:49:41
56982,101,15:49:42
56983,101,15:49:43
56984,100,15:49:44
56985,100,15:49:45
56986,98,15:49:46
56987,97,15:49:47
56988,96,15:49:48
56989,94,15:49:49
56990,93,15:49:50
56991,93,15:49:51
56992,91,15:49:52
56993,91,15:49:53
56994,91,15:49:54
56995,91,15:49:55
56996,91,15:49:56
56997,90,15:49:57
56998,90,15:49:58
56999,90,15:49:59
57000,87,15:50:00
