Seconds Since Midnight,Heartbeat,Time HH:MM:SS
56700,72,15:45:00
56701,72,15:45:01
56702,71,15:45:02
56703,71,15:45:03
56704,72,15:45:04
56705,71,15:45:05
56706,71,15:45:06
56707,72,15:45:07
56708,72,15:45:08
56709,75,15:45:09
56710,75,15:45:10
56711,77,15:45:11
56712,77,15:45:12
56713,77,15:45:13
56714,78,15:45:14
56715,78,15:45:15
56716,78,15:45:16
56717,75,15:45:17
56718,74,15:45:18
56719,74,15:45:19
56720,74,15:45:20
56721,74,15:45:21
56722,72,15:45:22
56723,71,15:45:23
56724,71,15:45:24
56725,71,15:45:25
56726,70,15:45:26
56727,70,15:45:27
56728,70,15:45:28
56729,70,15:45:29
56730,70,15:45:30
56731,70,15:45:31
56732,70,15:45:32
56733,70,15:45:33
56734,69,15:45:34
56735,69,15:45:35
56736,69,15:45:36
56737,69,15:45:37
56738,69,15:45:38
56739,69,15:45:39
56740,69,15:45:40
56741,69,15:45:41
56742,70,15:45:42
56743,71,15:45:43
56744,71,15:45:44
56745,73,15:45:45
56746,73,15:45:46
56747,75,15:45:47
56748,75,15:45:48
56749,74,15:45:49
56750,74,15:45:50
56751,74,15:45:51
56752,74,15:45:52
56753,74,15:45:53
56754,74,15:45:54
56755,75,15:45:55
56756,75,15:45:56
56757,78,15:45:57
56758,78,15:45:58
56759,78,15:45:59
56760,83,15:46:00
56761,86,15:46:01
56762,86,15:46:02
56763,90,15:46:03
56764,91,15:46:04
56765,93,15:46:05
56766,93,15:46:06
56767,94,15:46:07
56768,92,15:46:08
56769,91,15:46:09
56770,90,15:46:10
56771,89,15:46:11
56772,89,15:46:12
56773,87,15:46:13
56774,87,15:46:14
56775,85,15:46:15
56776,83,15:46:16
56777,83,15:46:17
56778,84,15:46:18
56779,84,15:46:19
56780,88,15:46:20
56781,90,15:46:21
56782,90,15:46:22
56783,93,15:46:23
56784,96,15:46:24
56785,98,15:46:25
56786,99,15:46:26
56787,99,15:46:27
56788,101,15:46:28
56789,95,15:46:29
56790,95,15:46:30
56791,81,15:46:31
56792,81,15:46:32
56793,78,15:46:33
56794,78,15:46:34
56795,78,15:46:35
56796,74,15:46:36
56797,74,15:46:37
56798,75,15:46:38
56799,73,15:46:39
56800,74,15:46:40
56801,74,15:46:41
56802,79,15:46:42
56803,81,15:46:43
