Seconds Since Midnight,Heartbeat,Time HH:MM:SS
37884,45,10:31:24
37885,45,10:31:25
37886,45,10:31:26
37887,47,10:31:27
37888,47,10:31:28
37889,47,10:31:29
37890,47,10:31:30
37891,47,10:31:31
37892,47,10:31:32
37893,47,10:31:33
37894,47,10:31:34
37895,47,10:31:35
37896,47,10:31:36
37897,47,10:31:37
37899,47,10:31:39
37900,48,10:31:40
37901,48,10:31:41
37902,50,10:31:42
37903,51,10:31:43
37904,58,10:31:44
37905,66,10:31:45
37906,66,10:31:46
37907,66,10:31:47
37908,67,10:31:48
37909,68,10:31:49
37910,69,10:31:50
37911,72,10:31:51
37912,73,10:31:52
37913,73,10:31:53
37914,74,10:31:54
37915,75,10:31:55
37916,76,10:31:56
37917,78,10:31:57
37918,80,10:31:58
37919,82,10:31:59
37920,83,10:32:00
37921,83,10:32:01
37922,84,10:32:02
37923,83,10:32:03
37924,82,10:32:04
37925,82,10:32:05
37926,82,10:32:06
37927,83,10:32:07
37928,88,10:32:08
37929,90,10:32:09
37930,92,10:32:10
37931,95,10:32:11
37932,95,10:32:12
37933,94,10:32:13
37934,92,10:32:14
37935,84,10:32:15
37936,82,10:32:16
37937,82,10:32:17
37938,82,10:32:18
37939,82,10:32:19
37940,81,10:32:20
37941,81,10:32:21
37942,82,10:32:22
37943,83,10:32:23
37944,83,10:32:24
37945,82,10:32:25
37946,81,10:32:26
37947,80,10:32:27
37948,79,10:32:28
37949,78,10:32:29
37950,78,10:32:30
37951,78,10:32:31
37952,78,10:32:32
37953,79,10:32:33
37954,81,10:32:34
37955,82,10:32:35
37956,82,10:32:36
37957,82,10:32:37
37958,81,10:32:38
37959,81,10:32:39
37960,78,10:32:40
37961,77,10:32:41
37962,76,10:32:42
37963,76,10:32:43
37964,77,10:32:44
37965,79,10:32:45
37966,80,10:32:46
37967,79,10:32:47
37968,80,10:32:48
37969,81,10:32:49
37970,81,10:32:50
37971,81,10:32:51
37972,80,10:32:52
37973,81,10:32:53
37974,82,10:32:54
37975,85,10:32:55
37976,85,10:32:56
37977,86,10:32:57
37978,88,10:32:58
37979,89,10:32:59
37980,89,10:33:00
37981,88,10:33:01
37982,88,10:33:02
37983,88,10:33:03
37984,89,10:33:04
37985,89,10:33:05
37986,89,10:33:06
37987,89,10:33:07
37988,87,10:33:08
37989,84,10:33:09
37990,84,10:33:10
37991,81,10:33:11
37992,79,10:33:12
37993,79,10:33:13
37994,78,10:33:14
37995,77,10:33:15
37996,76,10:33:16
37997,76,10:33:17
37998,77,10:33:18
37999,78,10:33:19
38000,80,10:33:20
38001,81,10:33:21
38002,81,10:33:22
38003,80,10:33:23
38004,78,10:33:24
38005,78,10:33:25
38006,77,10:33:26
38007,77,10:33:27
38008,78,10:33:28
38009,79,10:33:29
38010,79,10:33:30
38011,78,10:33:31
38012,78,10:33:32
38013,78,10:33:33
38014,77,10:33:34
38015,77,10:33:35
38016,77,10:33:36
38017,77,10:33:37
38018,78,10:33:38
38019,78,10:33:39
38020,78,10:33:40
38021,76,10:33:41
38022,75,10:33:42
38023,75,10:33:43
38024,76,10:33:44
38025,78,10:33:45
38026,79,10:33:46
38027,80,10:33:47
38028,81,10:33:48
38029,82,10:33:49
38030,81,10:33:50
38031,80,10:33:51
38032,80,10:33:52
38033,81,10:33:53
38034,82,10:33:54
38035,83,10:33:55
38036,84,10:33:56
38037,83,10:33:57
38038,82,10:33:58
38039,80,10:33:59
38040,80,10:34:00
38041,78,10:34:01
38042,78,10:34:02
38043,78,10:34:03
38044,77,10:34:04
38045,77,10:34:05
38046,77,10:34:06
38047,77,10:34:07
38048,77,10:34:08
38049,77,10:34:09
38050,77,10:34:10
38051,78,10:34:11
38052,78,10:34:12
38053,78,10:34:13
38054,78,10:34:14
38055,78,10:34:15
38056,78,10:34:16
38057,80,10:34:17
38058,82,10:34:18
38059,82,10:34:19
38060,83,10:34:20
38061,83,10:34:21
38062,83,10:34:22
38063,82,10:34:23
38064,82,10:34:24
38065,81,10:34:25
38066,81,10:34:26
38067,81,10:34:27
38068,82,10:34:28
38069,83,10:34:29
38070,84,10:34:30
38071,84,10:34:31
38072,84,10:34:32
38073,83,10:34:33
38074,83,10:34:34
38075,83,10:34:35
38076,83,10:34:36
38077,84,10:34:37
38078,85,10:34:38
38079,82,10:34:39
38080,81,10:34:40
38081,81,10:34:41
38082,81,10:34:42
38083,83,10:34:43
38084,84,10:34:44
38085,84,10:34:45
38086,83,10:34:46
38087,83,10:34:47
38088,83,10:34:48
38089,81,10:34:49
38090,81,10:34:50
38091,80,10:34:51
38092,81,10:34:52
38093,81,10:34:53
38094,80,10:34:54
38095,79,10:34:55
38096,78,10:34:56
38097,78,10:34:57
38098,78,10:34:58
38099,77,10:34:59
38100,78,10:35:00
38101,78,10:35:01
38102,78,10:35:02
38103,78,10:35:03
38104,78,10:35:04
38105,79,10:35:05
38106,79,10:35:06
38107,80,10:35:07
38108,80,10:35:08
38109,80,10:35:09
38110,82,10:35:10
38111,82,10:35:11
38112,82,10:35:12
38113,84,10:35:13
38114,85,10:35:14
38115,85,10:35:15
38116,85,10:35:16
38117,85,10:35:17
38118,84,10:35:18
38119,83,10:35:19
38120,82,10:35:20
38121,82,10:35:21
38122,81,10:35:22
38123,80,10:35:23
38124,80,10:35:24
38125,79,10:35:25
38126,78,10:35:26
38127,78,10:35:27
38128,78,10:35:28
38129,78,10:35:29
38130,78,10:35:30
38131,78,10:35:31
38132,78,10:35:32
38133,78,10:35:33
38134,79,10:35:34
38135,79,10:35:35
38136,80,10:35:36
38137,82,10:35:37
38138,82,10:35:38
38139,80,10:35:39
38140,79,10:35:40
38141,78,10:35:41
38142,77,10:35:42
38143,77,10:35:43
38144,77,10:35:44
38145,77,10:35:45
38146,78,10:35:46
38147,78,10:35:47
38148,78,10:35:48
38149,78,10:35:49
38150,78,10:35:50
38151,78,10:35:51
38152,78,10:35:52
38153,78,10:35:53
38154,78,10:35:54
38155,78,10:35:55
38156,78,10:35:56
38157,78,10:35:57
38158,78,10:35:58
38159,78,10:35:59
38160,77,10:36:00
38161,77,10:36:01
38162,77,10:36:02
38163,77,10:36:03
38164,77,10:36:04
38165,76,10:36:05
38166,76,10:36:06
38167,76,10:36:07
38168,76,10:36:08
38169,76,10:36:09
38170,76,10:36:10
38171,76,10:36:11
38172,76,10:36:12
38173,77,10:36:13
38174,77,10:36:14
38175,77,10:36:15
38176,79,10:36:16
38177,80,10:36:17
38178,80,10:36:18
38179,81,10:36:19
38180,80,10:36:20
38181,80,10:36:21
38182,79,10:36:22
38183,79,10:36:23
38184,79,10:36:24
38185,80,10:36:25
38186,79,10:36:26
38187,79,10:36:27
38188,80,10:36:28
38189,79,10:36:29
38190,78,10:36:30
38191,78,10:36:31
38192,78,10:36:32
38193,78,10:36:33
38194,79,10:36:34
38195,81,10:36:35
38196,81,10:36:36
38197,80,10:36:37
38198,79,10:36:38
38199,78,10:36:39
38200,78,10:36:40
38201,78,10:36:41
38202,77,10:36:42
38203,77,10:36:43
38204,77,10:36:44
38205,77,10:36:45
38206,78,10:36:46
38207,79,10:36:47
38208,80,10:36:48
38209,80,10:36:49
38210,79,10:36:50
38211,79,10:36:51
38212,79,10:36:52
38213,79,10:36:53
38214,79,10:36:54
38215,79,10:36:55
38216,78,10:36:56
38217,77,10:36:57
38218,77,10:36:58
38219,77,10:36:59
38220,77,10:37:00
38221,77,10:37:01
38222,77,10:37:02
38223,76,10:37:03
38224,76,10:37:04
38225,77,10:37:05
38226,77,10:37:06
38227,78,10:37:07
38228,78,10:37:08
38229,78,10:37:09
38230,79,10:37:10
38231,78,10:37:11
38232,78,10:37:12
38233,78,10:37:13
38234,77,10:37:14
38235,76,10:37:15
38236,76,10:37:16
38237,76,10:37:17
38238,76,10:37:18
38239,76,10:37:19
38240,76,10:37:20
