Seconds Since Midnight,Heartbeat,Time HH:MM:SS
31102,85,8:38:22
31103,83,8:38:23
31104,83,8:38:24
31105,83,8:38:25
31106,83,8:38:26
31107,82,8:38:27
31108,81,8:38:28
31109,82,8:38:29
31110,83,8:38:30
31111,83,8:38:31
31112,81,8:38:32
31113,81,8:38:33
31114,81,8:38:34
31115,83,8:38:35
31116,84,8:38:36
31117,87,8:38:37
31118,89,8:38:38
31119,91,8:38:39
31120,94,8:38:40
31121,96,8:38:41
31122,98,8:38:42
31123,97,8:38:43
31124,94,8:38:44
31125,90,8:38:45
31126,88,8:38:46
31127,85,8:38:47
31128,85,8:38:48
31129,88,8:38:49
31130,95,8:38:50
31131,99,8:38:51
31132,100,8:38:52
31133,101,8:38:53
31134,98,8:38:54
31135,95,8:38:55
31136,92,8:38:56
31137,92,8:38:57
31138,92,8:38:58
31139,93,8:38:59
31140,92,8:39:00
31141,91,8:39:01
31142,89,8:39:02
31143,90,8:39:03
31144,91,8:39:04
31145,93,8:39:05
31146,94,8:39:06
31147,94,8:39:07
31148,93,8:39:08
31149,91,8:39:09
31150,88,8:39:10
31151,88,8:39:11
31152,89,8:39:12
31153,91,8:39:13
31154,92,8:39:14
31155,92,8:39:15
31156,91,8:39:16
31157,90,8:39:17
31158,90,8:39:18
31159,90,8:39:19
31160,91,8:39:20
31161,91,8:39:21
31162,94,8:39:22
31163,95,8:39:23
31164,96,8:39:24
31165,97,8:39:25
31166,97,8:39:26
31167,97,8:39:27
31168,96,8:39:28
31169,95,8:39:29
31170,97,8:39:30
31171,100,8:39:31
31172,101,8:39:32
31173,102,8:39:33
31174,102,8:39:34
31175,101,8:39:35
31176,99,8:39:36
31177,99,8:39:37
31178,97,8:39:38
31179,97,8:39:39
31180,96,8:39:40
31181,95,8:39:41
31182,95,8:39:42
31183,96,8:39:43
31184,97,8:39:44
31185,97,8:39:45
31186,99,8:39:46
31187,100,8:39:47
31188,100,8:39:48
31189,101,8:39:49
31190,101,8:39:50
31191,100,8:39:51
31192,98,8:39:52
31193,98,8:39:53
31194,97,8:39:54
31195,97,8:39:55
31196,96,8:39:56
31197,96,8:39:57
31198,95,8:39:58
31199,95,8:39:59
31200,95,8:40:00
31201,96,8:40:01
31202,97,8:40:02
31203,97,8:40:03
31204,96,8:40:04
31205,95,8:40:05
31206,94,8:40:06
31207,93,8:40:07
31208,93,8:40:08
31209,93,8:40:09
31210,93,8:40:10
31211,93,8:40:11
31212,93,8:40:12
31213,93,8:40:13
31214,91,8:40:14
31215,90,8:40:15
31216,90,8:40:16
31217,91,8:40:17
31218,92,8:40:18
31219,92,8:40:19
31220,92,8:40:20
31221,91,8:40:21
31222,90,8:40:22
31223,90,8:40:23
31224,90,8:40:24
31225,90,8:40:25
31226,91,8:40:26
31227,91,8:40:27
31228,92,8:40:28
31229,92,8:40:29
31230,92,8:40:30
31231,91,8:40:31
31232,89,8:40:32
31233,89,8:40:33
31234,89,8:40:34
31235,90,8:40:35
31236,90,8:40:36
31237,91,8:40:37
31238,92,8:40:38
31239,92,8:40:39
31240,92,8:40:40
31241,92,8:40:41
31242,92,8:40:42
31243,92,8:40:43
31244,93,8:40:44
31245,93,8:40:45
31246,94,8:40:46
31247,96,8:40:47
31248,99,8:40:48
31249,103,8:40:49
31250,106,8:40:50
31251,107,8:40:51
31252,109,8:40:52
31253,110,8:40:53
31254,110,8:40:54
31255,110,8:40:55
31256,111,8:40:56
31257,111,8:40:57
31258,111,8:40:58
31259,111,8:40:59
31260,112,8:41:00
31261,112,8:41:01
31262,111,8:41:02
31263,111,8:41:03
31264,110,8:41:04
31265,109,8:41:05
31266,106,8:41:06
31267,98,8:41:07
31268,90,8:41:08
31269,89,8:41:09
31270,91,8:41:10
31271,94,8:41:11
31272,98,8:41:12
31273,100,8:41:13
31274,103,8:41:14
31275,104,8:41:15
31276,104,8:41:16
31277,103,8:41:17
31278,103,8:41:18
31279,89,8:41:19
31280,88,8:41:20
31281,90,8:41:21
31282,92,8:41:22
31283,96,8:41:23
31284,100,8:41:24
31285,103,8:41:25
31286,104,8:41:26
31287,104,8:41:27
31288,104,8:41:28
31289,105,8:41:29
31290,106,8:41:30
31291,106,8:41:31
31292,107,8:41:32
31293,106,8:41:33
31294,105,8:41:34
31295,103,8:41:35
31296,98,8:41:36
31297,96,8:41:37
31298,92,8:41:38
31299,90,8:41:39
31300,89,8:41:40
31301,90,8:41:41
31302,91,8:41:42
31303,92,8:41:43
31304,92,8:41:44
31305,93,8:41:45
31306,93,8:41:46
31307,93,8:41:47
31308,91,8:41:48
31309,90,8:41:49
31310,90,8:41:50
31311,91,8:41:51
31312,94,8:41:52
31313,96,8:41:53
31314,98,8:41:54
31315,96,8:41:55
31316,93,8:41:56
31317,91,8:41:57
31318,87,8:41:58
31319,86,8:41:59
31320,85,8:42:00
31321,85,8:42:01
31322,87,8:42:02
31323,88,8:42:03
31324,88,8:42:04
31325,88,8:42:05
31326,88,8:42:06
31327,85,8:42:07
31328,85,8:42:08
31329,82,8:42:09
31330,82,8:42:10
31331,83,8:42:11
31332,85,8:42:12
31333,86,8:42:13
31334,87,8:42:14
31335,88,8:42:15
31336,87,8:42:16
31337,87,8:42:17
31338,88,8:42:18
31339,96,8:42:19
31340,101,8:42:20
31341,106,8:42:21
31342,110,8:42:22
31343,113,8:42:23
31344,114,8:42:24
31345,116,8:42:25
31346,117,8:42:26
31347,116,8:42:27
31348,114,8:42:28
31349,112,8:42:29
31350,110,8:42:30
31351,110,8:42:31
31352,96,8:42:32
31353,93,8:42:33
31354,91,8:42:34
31355,90,8:42:35
31356,90,8:42:36
31357,89,8:42:37
31358,87,8:42:38
31359,86,8:42:39
31360,84,8:42:40
31361,83,8:42:41
31362,82,8:42:42
31363,81,8:42:43
31364,81,8:42:44
31365,81,8:42:45
31366,81,8:42:46
31367,81,8:42:47
31368,80,8:42:48
31369,80,8:42:49
31370,80,8:42:50
31371,80,8:42:51
31372,80,8:42:52
31373,80,8:42:53
31374,81,8:42:54
31375,81,8:42:55
31376,81,8:42:56
31377,81,8:42:57
31378,82,8:42:58
31379,82,8:42:59
31380,82,8:43:00
31381,82,8:43:01
31382,82,8:43:02
31383,82,8:43:03
31384,82,8:43:04
31385,82,8:43:05
