Seconds Since Midnight,Heartbeat,Time HH:MM:SS
49734,100,13:48:54
49735,100,13:48:55
49736,98,13:48:56
49737,98,13:48:57
49738,96,13:48:58
49739,95,13:48:59
49740,95,13:49:00
49741,95,13:49:01
49742,96,13:49:02
49743,97,13:49:03
49744,97,13:49:04
49745,98,13:49:05
49746,95,13:49:06
49747,95,13:49:07
49748,98,13:49:08
49749,98,13:49:09
49750,105,13:49:10
49751,108,13:49:11
49752,107,13:49:12
49753,107,13:49:13
49754,102,13:49:14
49755,102,13:49:15
49756,96,13:49:16
49757,96,13:49:17
49758,93,13:49:18
49759,93,13:49:19
49760,93,13:49:20
49761,93,13:49:21
49762,96,13:49:22
49763,101,13:49:23
49764,100,13:49:24
49765,99,13:49:25
49766,97,13:49:26
49767,97,13:49:27
49768,97,13:49:28
49769,99,13:49:29
49770,99,13:49:30
49771,106,13:49:31
49772,108,13:49:32
49773,108,13:49:33
49774,108,13:49:34
49775,108,13:49:35
49776,108,13:49:36
49777,110,13:49:37
49778,111,13:49:38
49779,111,13:49:39
49780,114,13:49:40
49781,115,13:49:41
49782,115,13:49:42
49783,115,13:49:43
49784,110,13:49:44
49785,110,13:49:45
49786,109,13:49:46
49787,109,13:49:47
49788,109,13:49:48
49789,109,13:49:49
49790,110,13:49:50
49791,111,13:49:51
49792,111,13:49:52
49793,109,13:49:53
49794,109,13:49:54
49795,99,13:49:55
49796,98,13:49:56
49797,98,13:49:57
49798,98,13:49:58
49799,98,13:49:59
